date,player_1,player_2,winner,target
2024-06-17,Hubert Hurkacz,Marcos Giron,Hubert Hurkacz,1
2024-06-17,Arthur Fils,Alexander Zverev,Alexander Zverev,0
2024-06-17,Jannik Sinner,Fabian Marozsan,Jannik Sinner,1
2024-06-17,Stefanos Tsitsipas,Jan Lennard Struff,Jan Lennard Struff,0
2024-06-17,Zhizhen Zhang,Daniil Medvedev,Zhizhen Zhang,1
2024-06-17,Alexander Bublik,Christopher Eubanks,Christopher Eubanks,0
2024-06-17,Hubert Hurkacz,James Duckworth,Hubert Hurkacz,1
2024-06-17,Matteo Berrettini,Marcos Giron,Marcos Giron,0
2024-06-17,Arthur Fils,Dominik Koepfer,Arthur Fils,1
2024-06-17,Lorenzo Sonego,Alexander Zverev,Alexander Zverev,0
2024-06-17,Jannik Sinner,Tallon Griekspoor,Jannik Sinner,1
2024-06-17,Roman Safiullin,Fabian Marozsan,Fabian Marozsan,0
2024-06-17,Jan Lennard Struff,Luciano Darderi,Jan Lennard Struff,1
2024-06-17,Henri Squire,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-06-17,Daniil Medvedev,Nuno Borges,Daniil Medvedev,1
2024-06-17,Sebastian Ofner,Zhizhen Zhang,Zhizhen Zhang,0
2024-06-17,Christopher Eubanks,Pedro Martinez,Christopher Eubanks,1
2024-06-17,Max Purcell,Alexander Bublik,Alexander Bublik,0
2024-06-17,Hubert Hurkacz,Flavio Cobolli,Hubert Hurkacz,1
2024-06-17,Joao Fonseca,James Duckworth,James Duckworth,0
2024-06-17,Matteo Berrettini,Alex Michelsen,Matteo Berrettini,1
2024-06-17,Andrey Rublev,Marcos Giron,Marcos Giron,0
2024-06-17,Dominik Koepfer,Felix Auger Aliassime,Dominik Koepfer,1
2024-06-17,Tomas Machac,Arthur Fils,Arthur Fils,0
2024-06-17,Lorenzo Sonego,Miomir Kecmanovic,Lorenzo Sonego,1
2024-06-17,Oscar Otte,Alexander Zverev,Alexander Zverev,0
2024-06-17,Tommy Paul,Lorenzo Musetti,Tommy Paul,1
2024-06-17,Sebastian Korda,Tommy Paul,Tommy Paul,0
2024-06-17,Lorenzo Musetti,Jordan Thompson,Lorenzo Musetti,1
2024-06-17,Jack Draper,Tommy Paul,Tommy Paul,0
2024-06-17,Sebastian Korda,Rinky Hijikata,Sebastian Korda,1
2024-06-17,Taylor Fritz,Jordan Thompson,Jordan Thompson,0
2024-06-17,Lorenzo Musetti,Billy Harris,Lorenzo Musetti,1
2024-06-17,Carlos Alcaraz,Jack Draper,Jack Draper,0
2024-06-17,Tommy Paul,Alejandro Tabilo,Tommy Paul,1
2024-06-17,Grigor Dimitrov,Sebastian Korda,Sebastian Korda,0
2024-06-17,Rinky Hijikata,Matteo Arnaldi,Rinky Hijikata,1
2024-06-17,Andy Murray,Jordan Thompson,Jordan Thompson,0
2024-06-17,Taylor Fritz,Milos Raonic,Taylor Fritz,1
2024-06-17,Giovanni Mpetshi Perricard,Billy Harris,Billy Harris,0
2024-06-17,Lorenzo Musetti,Brandon Nakashima,Lorenzo Musetti,1
2024-06-17,Francisco Cerundolo,Carlos Alcaraz,Carlos Alcaraz,0
2024-06-17,Jack Draper,Mariano Navone,Jack Draper,1
2024-06-17,Alejandro Davidovich Fokina,Alejandro Tabilo,Alejandro Tabilo,0
2024-06-17,Tommy Paul,Sebastian Baez,Tommy Paul,1
2024-06-17,Adrian Mannarino,Grigor Dimitrov,Grigor Dimitrov,0
2024-06-17,Sebastian Korda,Karen Khachanov,Sebastian Korda,1
2024-06-17,Frances Tiafoe,Rinky Hijikata,Rinky Hijikata,0
2024-06-17,Matteo Arnaldi,Ugo Humbert,Matteo Arnaldi,1
2024-06-17,Holger Rune,Jordan Thompson,Jordan Thompson,0
2024-06-17,Andy Murray,Alexei Popyrin,Andy Murray,1
2024-06-17,Cameron Norrie,Milos Raonic,Milos Raonic,0
2024-06-17,Taylor Fritz,Taro Daniel,Taylor Fritz,1
2024-06-17,Ben Shelton,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0
2024-06-17,Billy Harris,Tomas Martin Etcheverry,Billy Harris,1
2024-06-17,Daniel Evans,Brandon Nakashima,Brandon Nakashima,0
2024-06-17,Lorenzo Musetti,Alex De Minaur,Lorenzo Musetti,1
2024-06-24,Sebastian Ofner,Alejandro Tabilo,Alejandro Tabilo,0
2024-06-24,Sebastian Ofner,Paul Jubb,Sebastian Ofner,1
2024-06-24,Gael Monfils,Alejandro Tabilo,Alejandro Tabilo,0
2024-06-24,Paul Jubb,Ben Shelton,Paul Jubb,1
2024-06-24,Alex Michelsen,Sebastian Ofner,Sebastian Ofner,0
2024-06-24,Alejandro Tabilo,Jakub Mensik,Alejandro Tabilo,1
2024-06-24,Roberto Bautista Agut,Gael Monfils,Gael Monfils,0
2024-06-24,Ben Shelton,Rinky Hijikata,Ben Shelton,1
2024-06-24,Adam Walton,Paul Jubb,Paul Jubb,0
2024-06-24,Alex Michelsen,Adrian Mannarino,Alex Michelsen,1
2024-06-24,Luciano Darderi,Sebastian Ofner,Sebastian Ofner,0
2024-06-24,Jakub Mensik,Fabio Fognini,Jakub Mensik,1
2024-06-24,Alexander Shevchenko,Alejandro Tabilo,Alejandro Tabilo,0
2024-06-24,Gael Monfils,Roberto Carballes Baena,Gael Monfils,1
2024-06-24,Ugo Humbert,Roberto Bautista Agut,Roberto Bautista Agut,0
2024-06-24,Rinky Hijikata,Luca Nardi,Rinky Hijikata,1
2024-06-24,Maximilian Marterer,Paul Jubb,Paul Jubb,0
2024-06-24,Adam Walton,Yannick Hanfmann,Adam Walton,1
2024-06-24,Nuno Borges,Alex Michelsen,Alex Michelsen,0
2024-06-24,Sebastian Ofner,Jaume Munar,Sebastian Ofner,1
2024-06-24,Pedro Martinez,Luciano Darderi,Luciano Darderi,0
2024-06-24,Jakub Mensik,Christopher Eubanks,Jakub Mensik,1
2024-06-24,Gijs Brouwer,Fabio Fognini,Fabio Fognini,0
2024-06-24,Alexander Shevchenko,Constant Lestienne,Alexander Shevchenko,1
2024-06-24,Dominic Thiem,Gael Monfils,Gael Monfils,0
2024-06-24,Roberto Carballes Baena,Pablo Carreno Busta,Roberto Carballes Baena,1
2024-06-24,Taro Daniel,Roberto Bautista Agut,Roberto Bautista Agut,0
2024-06-24,Taylor Fritz,Max Purcell,Taylor Fritz,1
2024-06-24,Aleksandar Vukic,Taylor Fritz,Taylor Fritz,0
2024-06-24,Max Purcell,Billy Harris,Max Purcell,1
2024-06-24,Juncheng Shang,Taylor Fritz,Taylor Fritz,0
2024-06-24,Billy Harris,Flavio Cobolli,Billy Harris,1
2024-06-24,Miomir Kecmanovic,Max Purcell,Max Purcell,0
2024-06-24,Aleksandar Vukic,Yoshihito Nishioka,Aleksandar Vukic,1
2024-06-24,Thiago Seyboth Wild,Taylor Fritz,Taylor Fritz,0
2024-06-24,Aleksandar Vukic,Alexander Bublik,Aleksandar Vukic,1
2024-06-24,Sebastian Baez,Miomir Kecmanovic,Miomir Kecmanovic,0
2024-06-24,Flavio Cobolli,Giles Hussey,Flavio Cobolli,1
2024-06-24,Charles Broom,Billy Harris,Billy Harris,0
2024-06-24,Yoshihito Nishioka,Marcos Giron,Yoshihito Nishioka,1
2024-06-24,Lorenzo Sonego,Max Purcell,Max Purcell,0
2024-06-24,Juncheng Shang,Emil Ruusuvuori,Juncheng Shang,1
2024-06-24,Francisco Cerundolo,Marcos Giron,Marcos Giron,0
2024-06-24,Giles Hussey,Mariano Navone,Giles Hussey,1
2024-06-24,Tomas Martin Etcheverry,Juncheng Shang,Juncheng Shang,0
2024-06-24,Flavio Cobolli,Arthur Rinderknech,Flavio Cobolli,1
2024-06-24,Jacob Fearnley,Billy Harris,Billy Harris,0
2024-06-24,Miomir Kecmanovic,Zhizhen Zhang,Miomir Kecmanovic,1
2024-06-24,Liam Broady,Yoshihito Nishioka,Yoshihito Nishioka,0
2024-06-24,Max Purcell,Laslo Djere,Max Purcell,1
2024-06-24,Cameron Norrie,Emil Ruusuvuori,Emil Ruusuvuori,0
2024-06-24,Thiago Seyboth Wild,James Mccabe,Thiago Seyboth Wild,1
2024-06-24,Henry Searle,Lorenzo Sonego,Lorenzo Sonego,0
2024-06-24,Aleksandar Vukic,Fabian Marozsan,Aleksandar Vukic,1
2024-07-01,Yannick Hanfmann,Jannik Sinner,Jannik Sinner,0
2024-07-01,Matteo Berrettini,Marton Fucsovics,Matteo Berrettini,1
2024-07-01,Sumit Nagal,Miomir Kecmanovic,Miomir Kecmanovic,0
2024-07-01,Tallon Griekspoor,Daniel Elahi Galan,Tallon Griekspoor,1
2024-07-01,Nicolas Jarry,Denis Shapovalov,Denis Shapovalov,0
2024-07-01,Daniel Altmaier,Arthur Fery,Daniel Altmaier,1
2024-07-01,Alex Michelsen,Lloyd Harris,Lloyd Harris,0
2024-07-01,Ben Shelton,Mattia Bellucci,Ben Shelton,1
2024-07-01,Dusan Lajovic,Grigor Dimitrov,Grigor Dimitrov,0
2024-07-01,Juncheng Shang,Cristian Garin,Juncheng Shang,1
2024-07-01,Charles Broom,Stan Wawrinka,Stan Wawrinka,0
2024-07-01,Gael Monfils,Adrian Mannarino,Gael Monfils,1
2024-07-01,Maxime Janvier,Zhizhen Zhang,Zhizhen Zhang,0
2024-07-01,Jan Lennard Struff,Fabian Marozsan,Jan Lennard Struff,1
2024-07-01,Hugo Gaston,Alexandre Muller,Alexandre Muller,0
2024-07-01,Daniil Medvedev,Aleksandar Kovacevic,Daniil Medvedev,1
2024-07-01,Mark Lajal,Carlos Alcaraz,Carlos Alcaraz,0
2024-07-01,Aleksandar Vukic,Sebastian Ofner,Aleksandar Vukic,1
2024-07-01,Felipe Meligeni Alves,Borna Coric,Borna Coric,0
2024-07-01,Frances Tiafoe,Matteo Arnaldi,Frances Tiafoe,1
2024-07-01,Sebastian Baez,Brandon Nakashima,Brandon Nakashima,0
2024-07-01,Jordan Thompson,Pavel Kotov,Jordan Thompson,1
2024-07-01,Liam Broady,Botic Van De Zandschulp,Botic Van De Zandschulp,0
2024-07-01,Ugo Humbert,Alexander Shevchenko,Ugo Humbert,1
2024-07-01,Pedro Martinez,Tommy Paul,Tommy Paul,0
2024-07-01,Otto Virtanen,Max Purcell,Otto Virtanen,1
2024-07-01,Zizou Bergs,Arthur Cazaux,Arthur Cazaux,0
2024-07-01,Alexander Bublik,Jakub Mensik,Alexander Bublik,1
2024-07-01,Mariano Navone,Lorenzo Sonego,Lorenzo Sonego,0
2024-07-01,Roberto Bautista Agut,Maximilian Marterer,Roberto Bautista Agut,1
2024-07-01,Luca Van Assche,Fabio Fognini,Fabio Fognini,0
2024-07-01,Casper Ruud,Alex Bolt,Casper Ruud,1
2024-07-01,Andrey Rublev,Francisco Comesana,Francisco Comesana,0
2024-07-01,Adam Walton,Federico Coria,Adam Walton,1
2024-07-01,Jan Choinski,Luciano Darderi,Luciano Darderi,0
2024-07-01,Lorenzo Musetti,Constant Lestienne,Lorenzo Musetti,1
2024-07-01,Sebastian Korda,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0
2024-07-01,Yoshihito Nishioka,Nuno Borges,Yoshihito Nishioka,1
2024-07-01,Mackenzie Mcdonald,Emil Ruusuvuori,Emil Ruusuvuori,0
2024-07-01,Stefanos Tsitsipas,Taro Daniel,Stefanos Tsitsipas,1
2024-07-01,Christopher Oconnell,Taylor Fritz,Taylor Fritz,0
2024-07-01,Arthur Rinderknech,Kei Nishikori,Arthur Rinderknech,1
2024-07-01,Rinky Hijikata,Flavio Cobolli,Flavio Cobolli,0
2024-07-01,Alejandro Tabilo,Daniel Evans,Alejandro Tabilo,1
2024-07-01,Elias Ymer,Jack Draper,Jack Draper,0
2024-07-01,Cameron Norrie,Facundo Diaz Acosta,Cameron Norrie,1
2024-07-01,Henry Searle,Marcos Giron,Marcos Giron,0
2024-07-01,Alexander Zverev,Roberto Carballes Baena,Alexander Zverev,1
2024-07-01,Radu Albot,Hubert Hurkacz,Hubert Hurkacz,0
2024-07-01,Arthur Fils,Dominic Stricker,Arthur Fils,1
2024-07-01,David Goffin,Tomas Machac,Tomas Machac,0
2024-07-01,Roman Safiullin,Francisco Cerundolo,Roman Safiullin,1
2024-07-01,Felix Auger Aliassime,Thanasi Kokkinakis,Thanasi Kokkinakis,0
2024-07-01,Lucas Pouille,Laslo Djere,Lucas Pouille,1
2024-07-01,Billy Harris,Jaume Munar,Jaume Munar,0
2024-07-01,Alex De Minaur,James Duckworth,Alex De Minaur,1
2024-07-01,Soon Woo Kwon,Holger Rune,Holger Rune,0
2024-07-01,Thiago Seyboth Wild,Paul Jubb,Thiago Seyboth Wild,1
2024-07-01,Christopher Eubanks,Quentin Halys,Quentin Halys,0
2024-07-01,Karen Khachanov,Aslan Karatsev,Karen Khachanov,1
2024-07-01,Luca Nardi,Tomas Martin Etcheverry,Tomas Martin Etcheverry,0
2024-07-01,Alexei Popyrin,Thiago Monteiro,Alexei Popyrin,1
2024-07-01,Alejandro Moro Canas,Jacob Fearnley,Jacob Fearnley,0
2024-07-01,Novak Djokovic,Vit Kopriva,Novak Djokovic,1
2024-07-01,Matteo Berrettini,Jannik Sinner,Jannik Sinner,0
2024-07-01,Miomir Kecmanovic,Tallon Griekspoor,Miomir Kecmanovic,1
2024-07-01,Daniel Altmaier,Denis Shapovalov,Denis Shapovalov,0
2024-07-01,Ben Shelton,Lloyd Harris,Ben Shelton,1
2024-07-01,Juncheng Shang,Grigor Dimitrov,Grigor Dimitrov,0
2024-07-01,Gael Monfils,Stan Wawrinka,Gael Monfils,1
2024-07-01,Zhizhen Zhang,Jan Lennard Struff,Jan Lennard Struff,0
2024-07-01,Daniil Medvedev,Alexandre Muller,Daniil Medvedev,1
2024-07-01,Aleksandar Vukic,Carlos Alcaraz,Carlos Alcaraz,0
2024-07-01,Frances Tiafoe,Borna Coric,Frances Tiafoe,1
2024-07-01,Jordan Thompson,Brandon Nakashima,Brandon Nakashima,0
2024-07-01,Ugo Humbert,Botic Van De Zandschulp,Ugo Humbert,1
2024-07-01,Otto Virtanen,Tommy Paul,Tommy Paul,0
2024-07-01,Alexander Bublik,Arthur Cazaux,Alexander Bublik,1
2024-07-01,Lorenzo Sonego,Roberto Bautista Agut,Roberto Bautista Agut,0
2024-07-01,Fabio Fognini,Casper Ruud,Fabio Fognini,1
2024-07-01,Adam Walton,Francisco Comesana,Francisco Comesana,0
2024-07-01,Lorenzo Musetti,Luciano Darderi,Lorenzo Musetti,1
2024-07-01,Yoshihito Nishioka,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0
2024-07-01,Emil Ruusuvuori,Stefanos Tsitsipas,Emil Ruusuvuori,1
2024-07-01,Arthur Rinderknech,Taylor Fritz,Taylor Fritz,0
2024-07-01,Alejandro Tabilo,Flavio Cobolli,Alejandro Tabilo,1
2024-07-01,Jack Draper,Cameron Norrie,Cameron Norrie,0
2024-07-01,Alexander Zverev,Marcos Giron,Alexander Zverev,1
2024-07-01,Hubert Hurkacz,Arthur Fils,Arthur Fils,0
2024-07-01,Roman Safiullin,Tomas Machac,Roman Safiullin,1
2024-07-01,Thanasi Kokkinakis,Lucas Pouille,Lucas Pouille,0
2024-07-01,Alex De Minaur,Jaume Munar,Alex De Minaur,1
2024-07-01,Thiago Seyboth Wild,Holger Rune,Holger Rune,0
2024-07-01,Quentin Halys,Karen Khachanov,Quentin Halys,1
2024-07-01,Tomas Martin Etcheverry,Alexei Popyrin,Alexei Popyrin,0
2024-07-01,Novak Djokovic,Jacob Fearnley,Novak Djokovic,1
2024-07-01,Miomir Kecmanovic,Jannik Sinner,Jannik Sinner,0
2024-07-01,Ben Shelton,Denis Shapovalov,Ben Shelton,1
2024-07-01,Gael Monfils,Grigor Dimitrov,Grigor Dimitrov,0
2024-07-01,Daniil Medvedev,Jan Lennard Struff,Daniil Medvedev,1
2024-07-01,Frances Tiafoe,Carlos Alcaraz,Carlos Alcaraz,0
2024-07-01,Ugo Humbert,Brandon Nakashima,Ugo Humbert,1
2024-07-01,Alexander Bublik,Tommy Paul,Tommy Paul,0
2024-07-01,Roberto Bautista Agut,Fabio Fognini,Roberto Bautista Agut,1
2024-07-01,Francisco Comesana,Lorenzo Musetti,Lorenzo Musetti,0
2024-07-01,Giovanni Mpetshi Perricard,Emil Ruusuvuori,Giovanni Mpetshi Perricard,1
2024-07-01,Alejandro Tabilo,Taylor Fritz,Taylor Fritz,0
2024-07-01,Alexander Zverev,Cameron Norrie,Alexander Zverev,1
2024-07-01,Roman Safiullin,Arthur Fils,Arthur Fils,0
2024-07-01,Alex De Minaur,Lucas Pouille,Alex De Minaur,1
2024-07-01,Quentin Halys,Holger Rune,Holger Rune,0
2024-07-01,Novak Djokovic,Alexei Popyrin,Novak Djokovic,1
2024-07-01,Ben Shelton,Jannik Sinner,Jannik Sinner,0
2024-07-01,Daniil Medvedev,Grigor Dimitrov,Daniil Medvedev,1
2024-07-01,Ugo Humbert,Carlos Alcaraz,Carlos Alcaraz,0
2024-07-01,Tommy Paul,Roberto Bautista Agut,Tommy Paul,1
2024-07-01,Giovanni Mpetshi Perricard,Lorenzo Musetti,Lorenzo Musetti,0
2024-07-01,Taylor Fritz,Alexander Zverev,Taylor Fritz,1
2024-07-01,Arthur Fils,Alex De Minaur,Alex De Minaur,0
2024-07-01,Novak Djokovic,Holger Rune,Novak Djokovic,1
2024-07-01,Jannik Sinner,Daniil Medvedev,Daniil Medvedev,0
2024-07-01,Carlos Alcaraz,Tommy Paul,Carlos Alcaraz,1
2024-07-01,Taylor Fritz,Lorenzo Musetti,Lorenzo Musetti,0
2024-07-01,Novak Djokovic,Alex De Minaur,Novak Djokovic,1
2024-07-01,Daniil Medvedev,Carlos Alcaraz,Carlos Alcaraz,0
2024-07-01,Novak Djokovic,Lorenzo Musetti,Novak Djokovic,1
2024-07-01,Novak Djokovic,Carlos Alcaraz,Carlos Alcaraz,0
2024-07-15,Matteo Berrettini,Quentin Halys,Matteo Berrettini,1
2024-07-15,Stefanos Tsitsipas,Matteo Berrettini,Matteo Berrettini,0
2024-07-15,Quentin Halys,Jan Lennard Struff,Quentin Halys,1
2024-07-15,Fabio Fognini,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-07-15,Matteo Berrettini,Felix Auger Aliassime,Matteo Berrettini,1
2024-07-15,Tomas Martin Etcheverry,Jan Lennard Struff,Jan Lennard Struff,0
2024-07-15,Quentin Halys,Gustavo Heide,Quentin Halys,1
2024-07-15,Hamad Medjedovic,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-07-15,Fabio Fognini,Juan Pablo Varillas,Fabio Fognini,1
2024-07-15,Yannick Hanfmann,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-07-15,Matteo Berrettini,Daniel Elahi Galan,Matteo Berrettini,1
2024-07-15,Leandro Riedi,Jan Lennard Struff,Jan Lennard Struff,0
2024-07-15,Tomas Martin Etcheverry,Botic Van De Zandschulp,Tomas Martin Etcheverry,1
2024-07-15,Lukas Klein,Quentin Halys,Quentin Halys,0
2024-07-15,Gustavo Heide,Ugo Humbert,Gustavo Heide,1
2024-07-15,Marc Andrea Huesler,Hamad Medjedovic,Hamad Medjedovic,0
2024-07-15,Juan Pablo Varillas,Dominic Thiem,Juan Pablo Varillas,1
2024-07-15,Titouan Droguet,Fabio Fognini,Fabio Fognini,0
2024-07-15,Yannick Hanfmann,Nicolas Moreno De Alboran,Yannick Hanfmann,1
2024-07-15,Vit Kopriva,Daniel Elahi Galan,Daniel Elahi Galan,0
2024-07-15,Matteo Berrettini,Pedro Cachin,Matteo Berrettini,1
2024-07-15,Albert Ramos,Jan Lennard Struff,Jan Lennard Struff,0
2024-07-15,Leandro Riedi,Gregoire Barrere,Leandro Riedi,1
2024-07-15,Dominic Stricker,Botic Van De Zandschulp,Botic Van De Zandschulp,0
2024-07-15,Lukas Klein,Stan Wawrinka,Lukas Klein,1
2024-07-15,Richard Gasquet,Quentin Halys,Quentin Halys,0
2024-07-15,Gustavo Heide,Stefano Napolitano,Gustavo Heide,1
2024-07-15,Alexander Zverev,Arthur Fils,Arthur Fils,0
2024-07-15,Alexander Zverev,Pedro Martinez,Alexander Zverev,1
2024-07-15,Sebastian Baez,Arthur Fils,Arthur Fils,0
2024-07-15,Alexander Zverev,Zhizhen Zhang,Alexander Zverev,1
2024-07-15,Francisco Cerundolo,Pedro Martinez,Pedro Martinez,0
2024-07-15,Sebastian Baez,Luciano Darderi,Sebastian Baez,1
2024-07-15,Holger Rune,Arthur Fils,Arthur Fils,0
2024-07-15,Alexander Zverev,Hugo Gaston,Alexander Zverev,1
2024-07-15,Flavio Cobolli,Zhizhen Zhang,Zhizhen Zhang,0
2024-07-15,Francisco Cerundolo,Maximilian Marterer,Francisco Cerundolo,1
2024-07-15,Ugo Blanchet,Pedro Martinez,Pedro Martinez,0
2024-07-15,Luciano Darderi,Alexander Shevchenko,Luciano Darderi,1
2024-07-15,Dusan Lajovic,Sebastian Baez,Sebastian Baez,0
2024-07-15,Arthur Fils,Laslo Djere,Arthur Fils,1
2024-07-15,Marco Trungelliti,Holger Rune,Holger Rune,0
2024-07-15,Alexander Zverev,Jesper De Jong,Alexander Zverev,1
2024-07-15,Facundo Diaz Acosta,Hugo Gaston,Hugo Gaston,0
2024-07-15,Flavio Cobolli,Daniel Altmaier,Flavio Cobolli,1
2024-07-15,Thiago Seyboth Wild,Zhizhen Zhang,Zhizhen Zhang,0
2024-07-15,Francisco Cerundolo,Francisco Comesana,Francisco Cerundolo,1
2024-07-15,Soon Woo Kwon,Maximilian Marterer,Maximilian Marterer,0
2024-07-15,Ugo Blanchet,Alexei Popyrin,Ugo Blanchet,1
2024-07-15,Matteo Arnaldi,Pedro Martinez,Pedro Martinez,0
2024-07-15,Luciano Darderi,Nick Hardt,Luciano Darderi,1
2024-07-15,Rudolf Molleker,Alexander Shevchenko,Alexander Shevchenko,0
2024-07-15,Dusan Lajovic,Felipe Meligeni Alves,Dusan Lajovic,1
2024-07-15,Dominik Koepfer,Sebastian Baez,Sebastian Baez,0
2024-07-15,Arthur Fils,Jaume Munar,Arthur Fils,1
2024-07-15,Zizou Bergs,Laslo Djere,Laslo Djere,0
2024-07-15,Marco Trungelliti,Sebastian Ofner,Marco Trungelliti,1
2024-07-15,Fabian Marozsan,Holger Rune,Holger Rune,0
2024-07-15,Nuno Borges,Rafael Nadal,Nuno Borges,1
2024-07-15,Thiago Agustin Tirante,Nuno Borges,Nuno Borges,0
2024-07-15,Rafael Nadal,Duje Ajdukovic,Rafael Nadal,1
2024-07-15,Roberto Carballes Baena,Thiago Agustin Tirante,Thiago Agustin Tirante,0
2024-07-15,Nuno Borges,Timofey Skatov,Nuno Borges,1
2024-07-15,Mariano Navone,Rafael Nadal,Rafael Nadal,0
2024-07-15,Duje Ajdukovic,Thiago Monteiro,Duje Ajdukovic,1
2024-07-15,Andrey Rublev,Thiago Agustin Tirante,Thiago Agustin Tirante,0
2024-07-15,Roberto Carballes Baena,Denis Yevseyev,Roberto Carballes Baena,1
2024-07-15,Tallon Griekspoor,Timofey Skatov,Timofey Skatov,0
2024-07-15,Nuno Borges,Henrique Rocha,Nuno Borges,1
2024-07-15,Cameron Norrie,Rafael Nadal,Rafael Nadal,0
2024-07-15,Mariano Navone,Sumit Nagal,Mariano Navone,1
2024-07-15,Pavel Kotov,Duje Ajdukovic,Duje Ajdukovic,0
2024-07-15,Thiago Monteiro,Casper Ruud,Thiago Monteiro,1
2024-07-15,Jaime Faria,Thiago Agustin Tirante,Thiago Agustin Tirante,0
2024-07-15,Denis Yevseyev,Alexandre Muller,Denis Yevseyev,1
2024-07-15,Roman Safiullin,Roberto Carballes Baena,Roberto Carballes Baena,0
2024-07-15,Timofey Skatov,Taro Daniel,Timofey Skatov,1
2024-07-15,Camilo Ugo Carabelli,Henrique Rocha,Henrique Rocha,0
2024-07-15,Nuno Borges,Andrea Pellegrino,Nuno Borges,1
2024-07-15,Jozef Kovalik,Cameron Norrie,Cameron Norrie,0
2024-07-15,Rafael Nadal,Leo Borg,Rafael Nadal,1
2024-07-15,Elias Ymer,Sumit Nagal,Sumit Nagal,0
2024-07-15,Pavel Kotov,Cristian Garin,Pavel Kotov,1
2024-07-15,Luca Van Assche,Duje Ajdukovic,Duje Ajdukovic,0
2024-07-15,Thiago Monteiro,Federico Coria,Thiago Monteiro,1
2024-07-15,Alex Michelsen,Marcos Giron,Marcos Giron,0
2024-07-15,Alex Michelsen,Reilly Opelka,Alex Michelsen,1
2024-07-15,Christopher Eubanks,Marcos Giron,Marcos Giron,0
2024-07-15,Reilly Opelka,Mackenzie Mcdonald,Reilly Opelka,1
2024-07-15,Aleksandar Kovacevic,Alex Michelsen,Alex Michelsen,0
2024-07-15,Christopher Eubanks,Aleksandar Vukic,Christopher Eubanks,1
2024-07-15,Alex Bolt,Marcos Giron,Marcos Giron,0
2024-07-15,Reilly Opelka,Adrian Mannarino,Reilly Opelka,1
2024-07-15,Billy Harris,Mackenzie Mcdonald,Mackenzie Mcdonald,0
2024-07-15,Alex Michelsen,Maxime Cressy,Alex Michelsen,1
2024-07-15,Arthur Rinderknech,Aleksandar Kovacevic,Aleksandar Kovacevic,0
2024-07-15,Aleksandar Vukic,Eliot Spizzirri,Aleksandar Vukic,1
2024-07-15,Ethan Quinn,Christopher Eubanks,Christopher Eubanks,0
2024-07-15,Alex Bolt,Brandon Nakashima,Alex Bolt,1
2024-07-15,Benoit Paire,Marcos Giron,Marcos Giron,0
2024-07-15,Reilly Opelka,Constant Lestienne,Reilly Opelka,1
2024-07-15,Gabriel Diallo,Billy Harris,Billy Harris,0
2024-07-15,Mackenzie Mcdonald,Rinky Hijikata,Mackenzie Mcdonald,1
2024-07-15,Radu Albot,Maxime Cressy,Maxime Cressy,0
2024-07-15,Aleksandar Kovacevic,Harold Mayot,Aleksandar Kovacevic,1
2024-07-15,Shintaro Mochizuki,Arthur Rinderknech,Arthur Rinderknech,0
2024-07-15,Aleksandar Vukic,Coleman Wong,Aleksandar Vukic,1
2024-07-15,Li Tu,Eliot Spizzirri,Eliot Spizzirri,0
2024-07-15,Ethan Quinn,Marc Polmans,Ethan Quinn,1
2024-07-15,Emilio Nava,Brandon Nakashima,Brandon Nakashima,0
2024-07-15,Alex Bolt,Jakub Mensik,Alex Bolt,1
2024-07-15,Zachary Svajda,Benoit Paire,Benoit Paire,0
2024-07-22,Yoshihito Nishioka,Jordan Thompson,Yoshihito Nishioka,1
2024-07-22,Juncheng Shang,Jordan Thompson,Jordan Thompson,0
2024-07-22,Yoshihito Nishioka,Arthur Rinderknech,Yoshihito Nishioka,1
2024-07-22,Max Purcell,Juncheng Shang,Juncheng Shang,0
2024-07-22,Jordan Thompson,Alejandro Davidovich Fokina,Jordan Thompson,1
2024-07-22,Frances Tiafoe,Yoshihito Nishioka,Yoshihito Nishioka,0
2024-07-22,Arthur Rinderknech,Mattia Bellucci,Arthur Rinderknech,1
2024-07-22,Ben Shelton,Juncheng Shang,Juncheng Shang,0
2024-07-22,Max Purcell,David Goffin,Max Purcell,1
2024-07-22,Harold Mayot,Jordan Thompson,Jordan Thompson,0
2024-07-22,Alejandro Davidovich Fokina,Reilly Opelka,Alejandro Davidovich Fokina,1
2024-07-22,Mackenzie Mcdonald,Yoshihito Nishioka,Yoshihito Nishioka,0
2024-07-22,Frances Tiafoe,Aslan Karatsev,Frances Tiafoe,1
2024-07-22,Adam Walton,Arthur Rinderknech,Arthur Rinderknech,0
2024-07-22,Mattia Bellucci,Adrian Mannarino,Mattia Bellucci,1
2024-07-22,Andres Martin,Juncheng Shang,Juncheng Shang,0
2024-07-22,David Goffin,Denis Shapovalov,David Goffin,1
